2024-07-02T21:38:11.010482 OTBM2JSON- Current byte: 100, index: 48
2024-07-02T21:38:11.010514 OTBM2JSON- Current byte: 101, index: 49
2024-07-02T21:38:11.010545 OTBM2JSON- Current byte: 115, index: 50
2024-07-02T21:38:11.010577 OTBM2JSON- Current byte: 99, index: 51
2024-07-02T21:38:11.010609 OTBM2JSON- Current byte: 114, index: 52
2024-07-02T21:38:11.010641 OTBM2JSON- Current byte: 105, index: 53
2024-07-02T21:38:11.010673 OTBM2JSON- Current byte: 112, index: 54
2024-07-02T21:38:11.010705 OTBM2JSON- Current byte: 116, index: 55
2024-07-02T21:38:11.010737 OTBM2JSON- Current byte: 105, index: 56
2024-07-02T21:38:11.010777 OTBM2JSON- Current byte: 111, index: 57
2024-07-02T21:38:11.010810 OTBM2JSON- Current byte: 110, index: 58
2024-07-02T21:38:11.010841 OTBM2JSON- Current byte: 32, index: 59
2024-07-02T21:38:11.010873 OTBM2JSON- Current byte: 97, index: 60
2024-07-02T21:38:11.010905 OTBM2JSON- Current byte: 118, index: 61
2024-07-02T21:38:11.010936 OTBM2JSON- Current byte: 97, index: 62
2024-07-02T21:38:11.010967 OTBM2JSON- Current byte: 105, index: 63
2024-07-02T21:38:11.010999 OTBM2JSON- Current byte: 108, index: 64
2024-07-02T21:38:11.011031 OTBM2JSON- Current byte: 97, index: 65
2024-07-02T21:38:11.011063 OTBM2JSON- Current byte: 98, index: 66
2024-07-02T21:38:11.011095 OTBM2JSON- Current byte: 108, index: 67
2024-07-02T21:38:11.011127 OTBM2JSON- Current byte: 101, index: 68
2024-07-02T21:38:11.011159 OTBM2JSON- Current byte: 46, index: 69
2024-07-02T21:38:11.011191 OTBM2JSON- Current byte: 11, index: 70
2024-07-02T21:38:11.011223 OTBM2JSON- Current byte: 14, index: 71
2024-07-02T21:38:11.011255 OTBM2JSON- Current byte: 0, index: 72
2024-07-02T21:38:11.011301 OTBM2JSON- Current byte: 118, index: 73
2024-07-02T21:38:11.011350 OTBM2JSON- Current byte: 111, index: 74
2024-07-02T21:38:11.011385 OTBM2JSON- Current byte: 105, index: 75
2024-07-02T21:38:11.011418 OTBM2JSON- Current byte: 100, index: 76
2024-07-02T21:38:11.011450 OTBM2JSON- Current byte: 45, index: 77
2024-07-02T21:38:11.011482 OTBM2JSON- Current byte: 115, index: 78
2024-07-02T21:38:11.011514 OTBM2JSON- Current byte: 112, index: 79
2024-07-02T21:38:11.011546 OTBM2JSON- Current byte: 97, index: 80
2024-07-02T21:38:11.011579 OTBM2JSON- Current byte: 119, index: 81
2024-07-02T21:38:11.011610 OTBM2JSON- Current byte: 110, index: 82
2024-07-02T21:38:11.011642 OTBM2JSON- Current byte: 46, index: 83
2024-07-02T21:38:11.011674 OTBM2JSON- Current byte: 120, index: 84
2024-07-02T21:38:11.011706 OTBM2JSON- Current byte: 109, index: 85
2024-07-02T21:38:11.011737 OTBM2JSON- Current byte: 108, index: 86
2024-07-02T21:38:11.011769 OTBM2JSON- Current byte: 13, index: 87
2024-07-02T21:38:11.011801 OTBM2JSON- Current byte: 14, index: 88
2024-07-02T21:38:11.011833 OTBM2JSON- Current byte: 0, index: 89
2024-07-02T21:38:11.011866 OTBM2JSON- Current byte: 118, index: 90
2024-07-02T21:38:11.011898 OTBM2JSON- Current byte: 111, index: 91
2024-07-02T21:38:11.011930 OTBM2JSON- Current byte: 105, index: 92
2024-07-02T21:38:11.011962 OTBM2JSON- Current byte: 100, index: 93
2024-07-02T21:38:11.011995 OTBM2JSON- Current byte: 45, index: 94
2024-07-02T21:38:11.012027 OTBM2JSON- Current byte: 104, index: 95
2024-07-02T21:38:11.012059 OTBM2JSON- Current byte: 111, index: 96
2024-07-02T21:38:11.012090 OTBM2JSON- Current byte: 117, index: 97
2024-07-02T21:38:11.012123 OTBM2JSON- Current byte: 115, index: 98
2024-07-02T21:38:11.012159 OTBM2JSON- Current byte: 101, index: 99
2024-07-02T21:38:11.012191 OTBM2JSON- Current byte: 46, index: 100
2024-07-02T21:38:11.012222 OTBM2JSON- Current byte: 120, index: 101
2024-07-02T21:38:11.012255 OTBM2JSON- Current byte: 109, index: 102
2024-07-02T21:38:11.012287 OTBM2JSON- Current byte: 108, index: 103
2024-07-02T21:38:11.012319 OTBM2JSON- Current byte: 254, index: 104
2024-07-02T21:38:11.012351 OTBM2JSON- Node data: 02012200536176656420776974682052656d6572652773204d617020456469746f7220332e35011d004e6f206d6170206465736372697074696f6e20617661696c61626c652e0b0e00766f69642d737061776e2e786d6c0d0e00766f69642d686f7573652e786d6c
2024-07-02T21:38:11.012387 OTBM2JSON- Reading node from data: fe040003000307fe05f4f8096400fffe05f4f9096400fffe05f4fa096400fffe05f4fb096400fffe05f5f8096400fffe05f5f9096400fffe05f5fa096400fffe05f5fb096400fffe05f6f8096400fffe05f6f9096400fffe05f6fa096400fffe05f6fb096400fffe05f7f8096400fffe05f7f9096400fffe05f7fa096400fffe05f7fb096400fffe05f8f8096400fffe05f8f9096400fffe05f8fa096400fffe05f8fb096400fffe05f9f8096400fffe05f9f9096400fffe05f9fa096400fffe05f9fb096400fffe05faf8096400fffe05faf9096400fffe05fafa096400fffe05fafb096400fffe05fbf8096400fffe05fbf9096400fffe05fbfa096400fffe05fbfb096400fffe05f4fc096400fffe05f4fdfd096400fffe05f4fdfe096400fffe05f4fdff096400fffe05f5fc096400fffe05f5fdfd096400fffe05f5fdfe096400fffe05f5fdff096400fffe05f6fc096400fffe05f6fdfd096400fffe05f6fdfe096400fffe05f6fdff096400fffe05f7fc096400fffe05f7fdfd096400fffe05f7fdfe096400fffe05f7fdff096400fffe05f8fc096400fffe05f8fdfd096400fffe05f8fdfe096400fffe05f8fdff096400fffe05f9fc096400fffe05f9fdfd096400fffe05f9fdfe096400fffe05f9fdff096400fffe05fafc096400fffe05fafdfd096400fffe05fafdfe096400fffe05fafdff096400fffe05fbfc096400fffe05fbfdfd096400fffe05fbfdfe096400fffe05fbfdff096400fffffe0cfffe0fffffff
2024-07-02T21:38:11.012427 OTBM2JSON- Current byte: 4, index: 0
2024-07-02T21:38:11.012460 OTBM2JSON- Current byte: 0, index: 1
2024-07-02T21:38:11.012493 OTBM2JSON- Current byte: 3, index: 2
2024-07-02T21:38:11.012525 OTBM2JSON- Current byte: 0, index: 3
2024-07-02T21:38:11.012557 OTBM2JSON- Current byte: 3, index: 4
2024-07-02T21:38:11.012590 OTBM2JSON- Current byte: 7, index: 5
2024-07-02T21:38:11.012623 OTBM2JSON- Current byte: 254, index: 6
2024-07-02T21:38:11.012654 OTBM2JSON- Node data: 040003000307
2024-07-02T21:38:11.012695 OTBM2JSON- Reading node from data: fe05f4f8096400fffe05f4f9096400fffe05f4fa096400fffe05f4fb096400fffe05f5f8096400fffe05f5f9096400fffe05f5fa096400fffe05f5fb096400fffe05f6f8096400fffe05f6f9096400fffe05f6fa096400fffe05f6fb096400fffe05f7f8096400fffe05f7f9096400fffe05f7fa096400fffe05f7fb096400fffe05f8f8096400fffe05f8f9096400fffe05f8fa096400fffe05f8fb096400fffe05f9f8096400fffe05f9f9096400fffe05f9fa096400fffe05f9fb096400fffe05faf8096400fffe05faf9096400fffe05fafa096400fffe05fafb096400fffe05fbf8096400fffe05fbf9096400fffe05fbfa096400fffe05fbfb096400fffe05f4fc096400fffe05f4fdfd096400fffe05f4fdfe096400fffe05f4fdff096400fffe05f5fc096400fffe05f5fdfd096400fffe05f5fdfe096400fffe05f5fdff096400fffe05f6fc096400fffe05f6fdfd096400fffe05f6fdfe096400fffe05f6fdff096400fffe05f7fc096400fffe05f7fdfd096400fffe05f7fdfe096400fffe05f7fdff096400fffe05f8fc096400fffe05f8fdfd096400fffe05f8fdfe096400fffe05f8fdff096400fffe05f9fc096400fffe05f9fdfd096400fffe05f9fdfe096400fffe05f9fdff096400fffe05fafc096400fffe05fafdfd096400fffe05fafdfe096400fffe05fafdff096400fffe05fbfc096400fffe05fbfdfd096400fffe05fbfdfe096400fffe05fbfdff096400fffffe0cfffe0fffffff
2024-07-02T21:38:11.012729 OTBM2JSON- Current byte: 5, index: 0
2024-07-02T21:38:11.012772 OTBM2JSON- Current byte: 244, index: 1
2024-07-02T21:38:11.012810 OTBM2JSON- Current byte: 248, index: 2
2024-07-02T21:38:11.012842 OTBM2JSON- Current byte: 9, index: 3
2024-07-02T21:38:11.012874 OTBM2JSON- Current byte: 100, index: 4
2024-07-02T21:38:11.012922 OTBM2JSON- Current byte: 0, index: 5
2024-07-02T21:38:11.012976 OTBM2JSON- Current byte: 255, index: 6
2024-07-02T21:38:11.013021 OTBM2JSON- Node data: 05f4f8096400
2024-07-02T21:38:11.013076 OTBM2JSON- Node termination found at index 6
2024-07-02T21:38:11.013179 OTBM2JSON- Initializing node with data: 05f4f8096400 and children: 0
2024-07-02T21:38:11.013282 OTBM2JSON- Node type identified: 5
2024-07-02T21:38:11.013385 OTBM2JSON- Initialized OTBM_TILE: x=244, y=248, attributes={'type': 5, 'x': 244, 'y': 248, 'tileid': 100}
2024-07-02T21:38:11.013453 OTBM2JSON- Node initialized: 5, with 0 children
2024-07-02T21:38:11.013495 OTBM2JSON- Child node read, current index: 14, children count: 1
2024-07-02T21:38:11.013563 OTBM2JSON- Current byte: 254, index: 14
